date,open,high,low,close,vol,per,pbr
2006-01-02,"290,493","290,493","287,210","288,523","79,190",3790,689
2006-01-03,"288,852","300,012","287,539","299,684","53,337",3937,716
2006-01-04,"301,981","322,004","299,684","318,722","105,611",4187,761
2006-01-05,"321,019","322,332","314,126","320,034","59,538",4204,765
2006-01-06,"321,676","322,332","313,798","322,332","45,643",4234,770
2006-01-09,"322,332","322,332","312,813","314,783","70,199",4135,752
2006-01-10,"311,828","313,141","306,248","307,233","64,900",4036,734
2006-01-11,"302,638","307,233","300,668","304,935","72,431",4006,729
2006-01-12,"308,218","310,187","305,592","305,592","58,813",4014,730
2006-01-13,"302,966","305,592","296,073","296,401","114,840",3894,708
2006-01-16,"296,401","298,042","289,508","290,165","91,732",3812,693
2006-01-17,"292,134","292,134","285,569","285,569","99,953",3751,682
2006-01-18,"282,943","285,241","276,707","278,676","137,294",3661,666
2006-01-19,"278,676","290,165","278,676","288,523","104,587",3790,689
2006-01-20,"295,416","297,058","282,615","284,913","117,020",3743,681
2006-01-23,"287,539","292,134","285,569","290,165","77,610",3812,693
2006-01-24,"290,165","312,485","290,165","312,485","93,066",4105,747
2006-01-25,"312,485","312,813","289,836","295,416","149,164",3881,706
2006-01-26,"297,714","307,890","296,401","307,233","111,079",4036,734
2006-01-27,"312,813","326,271","312,485","326,271","135,782",4286,779
2006-01-31,"328,897","342,683","326,928","334,805","100,821",4398,800
2006-02-01,"324,302","340,057","322,660","340,057","104,039",4467,812
2006-02-02,"334,805","336,775","326,599","327,584","84,142",4303,783
2006-02-03,"322,989","323,973","307,233","308,546","93,135",4053,737
2006-02-06,"305,264","309,203","298,371","308,546","93,131",4053,737
2006-02-07,"301,981","311,172","301,981","303,622","52,763",3988,725
2006-02-08,"302,309","307,233","296,729","296,729","56,915",3898,709
2006-02-09,"300,012","302,638","295,416","297,714","75,288",3911,711
2006-02-10,"298,699","308,546","293,447","308,546","77,761",4053,737
2006-02-13,"308,546","308,546","296,401","300,996","57,178",3954,719
2006-02-14,"298,699","311,828","293,775","307,233","55,546",4036,734
2006-02-15,"308,546","308,546","294,103","294,103","72,402",3863,703
2006-02-16,"297,386","300,668","294,103","297,386","51,353",3907,710
2006-02-17,"300,668","305,264","297,714","304,935","34,078",4006,729
2006-02-20,"305,264","308,546","302,309","307,561","53,957",4040,735
2006-02-21,"308,546","321,676","307,890","320,691","61,419",4213,766
2006-02-22,"322,989","322,989","312,157","318,393","40,743",4182,761
2006-02-23,"318,393","321,019","313,470","319,706","27,918",4200,764
2006-02-24,"320,691","320,691","306,905","308,546","68,068",4053,737
2006-02-27,"308,546","308,546","303,951","306,905","34,749",4032,733
2006-02-28,"306,905","307,233","302,966","303,294","61,898",3984,725
2006-03-02,"301,981","302,309","295,745","296,729","139,547",3898,709
2006-03-03,"297,386","299,355","289,180","291,149","118,947",3825,696
2006-03-06,"291,477","293,119","289,180","290,821","81,212",3820,695
2006-03-07,"289,836","293,119","287,867","288,852","79,384",3794,690
2006-03-08,"288,852","292,790","288,195","292,134","86,725",3838,698
2006-03-09,"294,103","302,638","292,134","298,371","69,027",3919,713
2006-03-10,"298,042","300,668","293,447","298,699","47,406",3924,714
2006-03-13,"297,386","300,012","295,416","298,699","33,310",3924,714
2006-03-14,"298,371","298,371","288,852","288,852","67,378",3794,690
2006-03-15,"288,852","294,103","279,989","279,989","111,290",3678,669
2006-03-16,"280,646","285,569","280,646","284,584","52,881",3738,680
2006-03-17,"283,271","288,852","282,615","285,897","50,939",3756,683
2006-03-20,"282,615","287,867","280,974","287,539","42,255",3777,687
2006-03-21,"288,195","288,195","282,287","282,287","36,377",3708,674
2006-03-22,"283,600","283,600","269,814","271,455","88,985",3566,649
2006-03-23,"274,081","276,378","270,470","270,470","66,257",3553,646
2006-03-24,"271,127","279,004","270,470","278,676","85,236",3661,666
2006-03-27,"278,676","288,195","278,676","287,867","59,199",3781,688
2006-03-28,"288,523","290,821","287,539","288,523","42,226",3790,689
2006-03-29,"286,882","291,806","283,600","288,852","25,228",3794,690
2006-03-30,"291,149","291,149","283,600","284,584","42,793",3738,680
2006-03-31,"287,210","292,134","284,256","290,821","41,232",3820,695
2006-04-03,"291,806","296,401","291,806","295,416","77,122",3881,706
2006-04-04,"290,821","294,760","288,523","288,852","80,897",3794,690
2006-04-05,"289,508","291,149","285,569","285,897","63,442",3756,683
2006-04-06,"288,852","291,806","286,554","290,165","82,402",3812,693
2006-04-07,"290,165","295,088","286,882","295,088","52,176",3876,705
2006-04-10,"291,149","294,760","287,867","292,790","57,753",3846,700
2006-04-11,"295,088","295,088","288,195","291,477","46,310",3829,696
2006-04-12,"293,447","293,447","289,508","292,134","29,879",3838,698
2006-04-13,"290,165","295,745","289,180","294,760","52,826",3872,704
2006-04-14,"292,134","294,760","290,165","294,432","39,300",3868,703
2006-04-17,"295,416","300,340","293,775","296,401","51,660",3894,708
2006-04-18,"295,416","298,371","293,119","296,729","48,421",3898,709
2006-04-19,"298,699","299,355","287,539","289,508","63,162",3803,692
2006-04-20,"288,852","291,477","282,943","282,943","86,955",3717,676
2006-04-21,"283,600","290,821","283,600","286,554","104,107",3764,685
2006-04-24,"290,165","290,165","286,226","288,195","45,339",3786,689
2006-04-25,"290,821","299,027","290,165","299,027","69,807",3928,714
2006-04-26,"298,371","301,981","296,401","301,653","55,704",3963,721
2006-04-27,"301,325","301,981","296,401","301,981","30,435",3967,721
2006-04-28,"301,325","311,828","294,760","302,638","95,882",3976,723
2006-05-02,"308,218","308,546","296,073","301,325","59,717",3958,720
2006-05-03,"297,386","302,638","296,073","296,729","50,365",3898,709
2006-05-04,"298,699","304,935","296,729","297,058","98,564",3902,710
2006-05-08,"303,951","306,577","301,981","303,951","62,202",3993,726
2006-05-09,"302,309","308,218","295,745","302,966","51,968",3980,724
2006-05-10,"301,981","301,981","296,729","301,325","30,318",3958,720
2006-05-11,"301,325","306,248","300,668","305,920","57,476",4019,731
2006-05-12,"304,935","307,890","300,012","300,012","34,198",3941,717
2006-05-15,"300,340","305,920","295,416","301,981","55,596",3967,721
2006-05-16,"303,294","305,920","290,493","295,416","51,151",3881,706
2006-05-17,"297,058","297,058","285,569","287,539","66,624",3777,687
2006-05-18,"283,271","286,554","276,378","276,378","60,650",3631,660
2006-05-19,"279,661","288,523","277,035","283,271","53,045",3721,677
2006-05-22,"293,119","303,622","282,943","301,981","135,208",3967,721
2006-05-23,"295,416","298,699","289,836","291,149","105,970",3825,696
2006-05-24,"291,149","301,981","290,821","301,981","92,776",3967,721
2006-05-25,"298,042","311,500","296,401","309,859","132,345",4070,740
2006-05-26,"309,859","312,157","302,966","305,264","67,842",4010,729
2006-05-29,"307,890","309,203","300,668","300,996","38,377",3954,719
2006-05-30,"302,966","305,592","286,226","286,226","54,355",3760,684
2006-06-01,"289,180","295,416","282,615","282,615","53,665",3712,675
2006-06-02,"288,195","288,195","282,615","286,882","49,197",3769,685
2006-06-05,"285,569","289,180","278,020","280,974","43,897",3691,671
2006-06-07,"276,707","283,600","276,050","276,050","45,800",3626,660
2006-06-08,"273,752","279,004","266,531","266,531","81,049",3501,637
2006-06-09,"269,157","270,142","265,218","267,516","84,340",3514,639
2006-06-12,"269,814","280,317","266,203","280,317","42,493",3682,670
2006-06-13,"278,676","284,913","276,378","280,974","73,582",3691,671
2006-06-14,"282,287","293,119","273,424","286,226","44,769",3760,684
2006-06-15,"293,119","295,416","279,661","290,493","50,634",3816,694
2006-06-16,"294,432","295,416","289,180","294,103","37,264",3863,703
2006-06-19,"289,508","294,103","282,287","288,852","34,542",3794,690
2006-06-20,"288,852","288,852","282,615","282,615","21,146",3712,675
2006-06-21,"281,630","284,256","276,050","276,378","27,646",3631,660
2006-06-22,"279,004","281,959","278,348","279,661","31,692",3674,668
2006-06-23,"278,348","279,661","273,424","279,333","17,143",3669,667
2006-06-26,"279,333","283,271","276,707","279,333","18,667",3669,667
2006-06-27,"279,989","291,806","279,989","291,806","38,388",3833,697
2006-06-28,"290,165","296,073","288,195","296,073","57,338",3889,707
2006-06-29,"298,042","307,561","296,729","306,577","85,052",4027,732
2006-06-30,"308,874","311,828","302,309","311,828","58,696",4096,745
2006-07-03,"311,828","311,828","302,309","307,233","32,431",4036,734
2006-07-04,"308,546","308,546","297,714","297,714","26,757",3911,711
2006-07-05,"295,416","308,546","294,760","301,653","25,677",3963,721
2006-07-06,"299,684","307,233","296,401","297,058","32,789",3902,710
2006-07-07,"305,264","306,905","299,027","304,279","27,162",3997,727
2006-07-10,"307,233","315,439","297,714","315,439","43,498",4144,754
2006-07-11,"315,439","315,767","309,531","315,111","32,012",4139,753
2006-07-12,"316,752","322,989","315,111","315,111","46,830",4139,753
2006-07-13,"315,767","322,332","305,592","315,111","62,613",4139,753
2006-07-14,"314,454","319,050","301,981","313,798","57,450",4122,750
